GuestID,Status,RoomGroupID,CreatedDate,ArrivalDate,DepartureDate,RoomPrice,Channel,RoomNo,Country,Adults,Children,TotalPayment
53801,O,1,2017-12-19,2018-09-09,2018-09-19,230.89,,467.0,au,3,0,2309.93
37129,O,1,2017-12-20,2018-01-03,2018-01-05,170.15,other,467.0,us,0,0,340.94
37708,O,1,2017-12-20,2018-01-17,2018-01-20,176.81,,647.0,jp,0,0,542.59
41515,O,1,2017-12-20,2018-02-18,2018-02-23,226.8,,508.0,gb,1,0,1134.29
37390,O,1,2017-12-21,2018-01-11,2018-01-12,129.8,offline,529.0,cn,1,0,140.59
40317,O,2,2017-12-21,2018-02-06,2018-02-11,246.57,online,364.0,th,2,0,1239.15
45169,O,2,2017-12-21,2018-03-22,2018-03-24,266.71,online,750.0,kr,3,0,536.23
37312,O,1,2017-12-22,2018-01-07,2018-01-09,199.7,online,338.0,de,2,0,410.7
39421,O,1,2017-12-22,2018-01-29,2018-02-03,255.59,online,510.0,jp,1,0,1284.15
42360,O,1,2017-12-22,2018-02-24,2018-03-01,241.92,other,308.0,us,0,0,1214.86
53511,N,1,2017-12-22,2018-08-11,2018-08-14,260.47,online,620.0,,1,0,785.74
37569,O,1,2017-12-23,2018-01-14,2018-01-16,174.17,other,671.0,hk,2,0,358.8
1817,O,1,2017-12-23,2018-01-18,2018-01-22,123.93,other,231.0,cn,2,0,495.76
7962,O,2,2017-12-23,2018-01-20,2018-01-23,125.84,other,354.0,cn,3,0,388.41
38703,O,1,2017-12-23,2018-01-27,2018-01-29,206.52,online,309.0,in,2,0,416.16
37494,O,1,2017-12-24,2018-01-07,2018-01-11,209.31,other,416.0,ph,1,0,843.96
37170,O,1,2017-12-24,2018-01-08,2018-01-09,196.07,online,606.0,sg,2,0,207.5
37339,O,1,2017-12-24,2018-01-08,2018-01-09,213.64,,723.0,de,1,0,223.73
37497,O,2,2017-12-24,2018-01-11,2018-01-12,263.95,online,648.0,kw,3,0,270.54
50044,O,1,2017-12-24,2018-04-26,2018-05-02,209.19,online,641.0,us,3,0,1264.67
37461,O,1,2017-12-25,2018-01-07,2018-01-12,219.65,,436.0,jp,1,0,1108.81
37757,O,1,2017-12-25,2018-01-17,2018-01-19,206.62,other,214.0,in,1,0,422.67
38011,O,1,2017-12-25,2018-01-17,2018-01-20,229.1,online,709.0,us,1,0,695.54
38454,O,1,2017-12-25,2018-01-22,2018-01-25,207.23,,565.0,th,0,0,628.41
38647,O,2,2017-12-25,2018-01-25,2018-01-28,215.63,online,550.0,ph,3,0,660.23
